"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene_symbol"
"Mthfd1",4.45466965408338e-09,0.0540826008551999,0.169,0.132,0.000124721840975027,"Mthfd1"
"Ubr2",4.55536299846834e-09,0.0636058453524195,0.286,0.24,0.000127541053231117,"Ubr2"
"Klf7",4.71007978742405e-09,0.0884400838149469,0.401,0.354,0.000131872813888298,"Klf7"
"Gfra1",4.81365093023682e-09,0.0828819962024746,0.217,0.178,0.00013477259874477,"Gfra1"
"Tom1",4.92239417284702e-09,0.0545246651714627,0.186,0.148,0.000137817192051371,"Tom1"
"Scrn3",5.05155840744712e-09,0.0455694677057447,0.116,0.086,0.000141433532291705,"Scrn3"
"Tnr",5.2554320317978e-09,-0.0248700782178343,0.25,0.2,0.000147141586026275,"Tnr"
"Acsl1",5.85835402749689e-09,0.0463013436757068,0.23,0.186,0.000164022196061858,"Acsl1"
"B230354K17Rik",6.33076334882057e-09,0.0439414407767311,0.103,0.074,0.000177248712240278,"B230354K17Rik"
"Naa16",6.3486524254289e-09,0.0452730968255489,0.111,0.082,0.000177749570607158,"Naa16"
"Tmcc1",6.37533804839629e-09,0.0720748617672997,0.43,0.378,0.000178496714678999,"Tmcc1"
"Cpped1",6.39258021791674e-09,0.0450950323124423,0.108,0.079,0.000178979460941233,"Cpped1"
"Usp1",6.40560558103452e-09,0.0660147966912726,0.189,0.151,0.000179344145057805,"Usp1"
"Itgb8",6.64391859444167e-09,-0.0718711830445966,0.118,0.155,0.000186016432807178,"Itgb8"
"Bmi1",6.68586557575640e-09,0.0539377991162777,0.162,0.126,0.000187190864390028,"Bmi1"
"Zfp532",6.98538894479294e-09,0.0455965049305533,0.125,0.094,0.000195576919676313,"Zfp532"
"Gstt1",7.08725624811955e-09,0.0386292918200536,0.1,0.072,0.000198429000434851,"Gstt1"
"Nacc1",7.14899091398630e-09,0.040701770505902,0.105,0.076,0.000200157447609788,"Nacc1"
"Fah",7.21452607580143e-09,-0.0565624513445717,0.07,0.101,0.000201992301070288,"Fah"
"Cebpb",7.28154205040233e-09,-0.0988357425017202,0.154,0.117,0.000203868614327165,"Cebpb"
"Tmeff2",7.31113498444319e-09,-0.258233980802306,0.466,0.492,0.00020469715729444,"Tmeff2"
"Ccdc90b",7.5278257852588e-09,0.0506060085391424,0.173,0.136,0.000210764066335676,"Ccdc90b"
"Tmed10",7.89759874118556e-09,0.101940299378103,0.763,0.734,0.000221116969555713,"Tmed10"
"Gtf3c5",8.28449761414848e-09,0.0406979617067773,0.101,0.073,0.000231949364200929,"Gtf3c5"
"Ccl4",8.52046333301745e-09,-1.31337997831637,0.338,0.286,0.000238555932397823,"Ccl4"
"Hexa",8.53344417416086e-09,0.0575124532224996,0.36,0.312,0.000238919369988156,"Hexa"
"Ctso",9.01517263850037e-09,-0.0644784166352857,0.109,0.145,0.000252406803532733,"Ctso"
"Papss1",9.01972125772779e-09,-0.12492843742332,0.387,0.425,0.000252534155773863,"Papss1"
"Wdr44",9.0721305108287e-09,0.0482419488666422,0.129,0.098,0.000254001510042182,"Wdr44"
"Slk",9.43087672942438e-09,0.0476046960405141,0.185,0.146,0.000264045686670424,"Slk"
"Trp53",9.73911141432003e-09,0.0595928882358146,0.213,0.173,0.000272675641378132,"Trp53"
"Asf1a",9.82947357407413e-09,0.0576383967691091,0.249,0.206,0.000275205601126927,"Asf1a"
"Per1",1.01653762247325e-08,0.0563233322942854,0.172,0.136,0.000284610203540061,"Per1"
"Adap1",1.07170134533451e-08,0.047007815054294,0.224,0.182,0.000300054942666755,"Adap1"
"Phkb",1.08060662439319e-08,0.054639969762066,0.146,0.113,0.000302548242697606,"Phkb"
"Rnf40",1.09958918447513e-08,0.0429440304243756,0.113,0.083,0.000307862979869347,"Rnf40"
"DHRSX",1.12875341662437e-08,0.0515021248315301,0.158,0.123,0.000316028381586491,"DHRSX"
"Osbpl1a",1.16123737429017e-08,-0.245453602426355,0.429,0.452,0.000325123240053763,"Osbpl1a"
"Bckdha",1.20491656322697e-08,0.062350609297847,0.242,0.201,0.000337352539372288,"Bckdha"
"Dolk",1.25904447219225e-08,0.0537792962378683,0.154,0.12,0.000352507271324387,"Dolk"
"Zmat5",1.27716541734974e-08,0.067336514033255,0.316,0.27,0.000357580773549579,"Zmat5"
"Klhl28",1.3030888281525e-08,0.0453358538295671,0.106,0.078,0.000364838810106136,"Klhl28"
"Appl2",1.34441419093496e-08,-0.0668623549143183,0.112,0.148,0.00037640908517797,"Appl2"
"Fam53c",1.39260576777001e-08,0.0444751190564406,0.122,0.092,0.000389901762860247,"Fam53c"
"Kif21b",1.49637286069122e-08,0.0447476705168068,0.13,0.099,0.000418954473536326,"Kif21b"
"Arsb",1.57181163174228e-08,0.0428412416354164,0.221,0.18,0.000440075820655205,"Arsb"
"Dstn",1.61260594224905e-08,0.0825410368811677,0.731,0.702,0.000451497411710889,"Dstn"
"Pak2",1.63540484751363e-08,0.0750080931655511,0.403,0.358,0.000457880649206867,"Pak2"
"Mark3",1.75451550560822e-08,0.0585705986408241,0.26,0.217,0.000491229251260188,"Mark3"
"Qsox1",1.79379040675227e-08,0.0461246224703057,0.133,0.101,0.0005022254380825,"Qsox1"
"Tmem161a",1.82744627004669e-08,0.064010101667418,0.212,0.173,0.000511648406687672,"Tmem161a"
"Cndp2",1.96351589349966e-08,0.0560389315036027,0.219,0.179,0.000549745179862035,"Cndp2"
"Aldh9a1",1.97599224235753e-08,0.0541297883991008,0.178,0.142,0.000553238308015262,"Aldh9a1"
"Sema5a",1.97656138073827e-08,0.078560562431722,0.171,0.136,0.000553397655379101,"Sema5a"
"Ikbkb",1.9892766171108e-08,0.0609825944919387,0.202,0.165,0.000556957667258681,"Ikbkb"
"Mecr",2.00761647349494e-08,0.0480111347605575,0.11,0.082,0.000562092460249112,"Mecr"
"Kitl",2.01190254487621e-08,0.0357707427574084,0.105,0.076,0.00056329247451444,"Kitl"
"Cacng7",2.04397911992611e-08,0.041412071109881,0.119,0.089,0.000572273273996911,"Cacng7"
"Nadk2",2.14281319787934e-08,0.0542203684050336,0.158,0.124,0.000599944839142257,"Nadk2"
"Gtf2a1",2.16648184489996e-08,0.0420906732723547,0.111,0.082,0.00060657158693509,"Gtf2a1"
"Rangrf",2.23109034142781e-08,0.0411284718123053,0.104,0.077,0.000624660673792959,"Rangrf"
"Psen1",2.29736532472525e-08,0.0492426209388005,0.184,0.147,0.000643216343616576,"Psen1"
"Aatk",2.34230887822114e-08,0.0497765486158516,0.386,0.335,0.000655799639724354,"Aatk"
"Mitd1",2.35553201776191e-08,0.047551870828466,0.132,0.101,0.00065950185433298,"Mitd1"
"Aplp1",2.39809205422628e-08,-0.373939829512631,0.974,0.907,0.000671417813342273,"Aplp1"
"Snapc5",2.44229093983609e-08,0.0739856159410412,0.315,0.272,0.000683792617335308,"Snapc5"
"Rpe",2.49424488834753e-08,0.0499970896400625,0.18,0.144,0.00069833868383954,"Rpe"
"Ints4",2.55511349903327e-08,0.0447428803029915,0.142,0.11,0.000715380677459335,"Ints4"
"Ttf1",2.62042252611024e-08,0.0442502335108773,0.139,0.107,0.000733665898860344,"Ttf1"
"Slc31a1",2.63957172641091e-08,0.0427811143706912,0.142,0.109,0.000739027291960526,"Slc31a1"
"Rnf141",2.66291824968649e-08,-0.0599402720193824,0.102,0.136,0.000745563851547223,"Rnf141"
"H1f0",2.78203824693938e-08,0.0522986799776252,0.47,0.42,0.000778915068378088,"H1f0"
"Slc38a10",2.91572796000135e-08,0.0599181928096733,0.248,0.207,0.000816345514241178,"Slc38a10"
"Ankib1",2.92322390716805e-08,0.0546648952611736,0.289,0.244,0.000818444229528911,"Ankib1"
"Akr7a5",3.04715282681991e-08,0.0697810661851424,0.342,0.297,0.000853141848453039,"Akr7a5"
"Wdr5",3.06466957972762e-08,0.0429455008981362,0.113,0.085,0.000858046188932138,"Wdr5"
"Fbxl5",3.12920631504765e-08,0.0464771771670391,0.519,0.469,0.00087611518408704,"Fbxl5"
"Synm",3.13275154543423e-08,-0.0672077157886077,0.086,0.118,0.000877107777690675,"Synm"
"Gpld1",3.19920143164064e-08,0.0474601294155187,0.131,0.1,0.000895712416830746,"Gpld1"
"Pou3f1",3.20952448367769e-08,-0.0905569986542842,0.119,0.154,0.00089860266494008,"Pou3f1"
