"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene_symbol"
"1600014C10Rik",7.34874469285163e-11,0.116313544051619,0.17,0.095,2.0575015391046e-06,"1600014C10Rik"
"Fbxo33",7.38699856227774e-11,0.161838943099613,0.297,0.196,2.06821185746652e-06,"Fbxo33"
"Zfp553",7.40940086196228e-11,0.138066175124781,0.245,0.154,2.0744840533322e-06,"Zfp553"
"Rrp1b",7.49210458961227e-11,0.108466048186278,0.184,0.105,2.09763944299964e-06,"Rrp1b"
"Gm27029",7.52749114598419e-11,0.0741398075172587,0.102,0.047,2.10754697105265e-06,"Gm27029"
"Unc13b",7.58641072982513e-11,0.0916994406027964,0.122,0.06,2.12404327613644e-06,"Unc13b"
"Nacad",7.60505407342293e-11,0.16479417031173,0.288,0.19,2.12926303947695e-06,"Nacad"
"Epc1",7.71648299090081e-11,0.141119482340715,0.303,0.201,2.16046090779241e-06,"Epc1"
"Sun1",7.95962757627306e-11,0.179720628444608,0.32,0.221,2.22853652880493e-06,"Sun1"
"Ivd",7.97112989546402e-11,0.14501443752782,0.297,0.196,2.23175694813202e-06,"Ivd"
"Ube4a",7.9978553524361e-11,0.131226792580242,0.266,0.17,2.23923954157506e-06,"Ube4a"
"Sfswap",8.0118603451556e-11,0.153608895656665,0.342,0.237,2.24316065943667e-06,"Sfswap"
"Gm26564",8.15411187583624e-11,0.097987593700061,0.137,0.071,2.28298824299663e-06,"Gm26564"
"Ctps",8.17079287826159e-11,0.125795588376227,0.311,0.206,2.28765859005568e-06,"Ctps"
"Ftsj3",8.25734494812148e-11,0.115542359117539,0.202,0.119,2.31189143857505e-06,"Ftsj3"
"Cep63",8.26852382338547e-11,0.152916416848257,0.244,0.153,2.31502130007146e-06,"Cep63"
"Adcy3",8.30130027928316e-11,0.134772797874677,0.227,0.139,2.3241980521937e-06,"Adcy3"
"Cep41",8.39837634436381e-11,0.0965159936279699,0.131,0.067,2.35137740889498e-06,"Cep41"
"Racgap1",8.47317830744656e-11,0.0913023503555382,0.12,0.059,2.37232046251889e-06,"Racgap1"
"Imp3",8.5571223534444e-11,0.208653239758473,0.458,0.349,2.39582311651736e-06,"Imp3"
"Nelfb",8.73579167422996e-11,0.180351300745835,0.352,0.248,2.4458469529509e-06,"Nelfb"
"AI854703",8.78244090772467e-11,0.11093406387506,0.161,0.089,2.45890780534475e-06,"AI854703"
"Eefsec",8.83969366703811e-11,0.1509170638411,0.253,0.161,2.47493743289733e-06,"Eefsec"
